filename,group,service,tier,size,prompt,notes
email-classification.png,Email,Classification and smart foldering,select,"1024x1024 (1:1), PNG with transparency","An icon representing “Classification and smart foldering”. An envelope with three horizontal divider lines fanning out to its right into separate stacked trays. Lime accent: the topmost tray. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-noise.png,Email,"Spam, noise and newsletter suppression",select,"1024x1024 (1:1), PNG with transparency","An icon representing “Spam, noise and newsletter suppression”. An envelope behind a solid filter funnel, with three small scattered dots being caught above the funnel's mouth. Lime accent: the funnel outline. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-scoring.png,Email,Importance and urgency scoring,select,"1024x1024 (1:1), PNG with transparency","An icon representing “Importance and urgency scoring”. Two stacked horizontal bars of different lengths beside a small upward arrow, reading as a ranking. Lime accent: the longer, top bar. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-digest.png,Email,Daily priority digest,select,"1024x1024 (1:1), PNG with transparency","An icon representing “Daily priority digest”. A single document page with four short text rules, a sunrise arc behind its top edge. Lime accent: the sunrise arc. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-unsubscribe.png,Email,Unsubscribe hygiene,select,"1024x1024 (1:1), PNG with transparency","An icon representing “Unsubscribe hygiene”. An envelope with a broken chain link beneath it, the link parted into two halves. Lime accent: the parted link. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-vip.png,Email,VIP routing and escalation,reserve,"1024x1024 (1:1), PNG with transparency","An icon representing “VIP routing and escalation”. An envelope with a star at its upper-right corner and a short arrow leaping past two other stacked envelopes. Lime accent: the star. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-drafts.png,Email,Replies drafted in your voice,reserve,"1024x1024 (1:1), PNG with transparency","An icon representing “Replies drafted in your voice”. A fountain pen nib poised over an open envelope containing a few ruled lines of writing. Lime accent: the nib tip. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
email-tasks.png,Email,Task extraction from email,reserve,"1024x1024 (1:1), PNG with transparency","An icon representing “Task extraction from email”. An envelope with a small checklist box lifting out of it on a short arrow. Lime accent: the tick inside the box. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
cal-focus.png,Calendar,Protected focus blocks,select,"1024x1024 (1:1), PNG with transparency","An icon representing “Protected focus blocks”. A calendar grid with one cell filled as a solid rounded block and a shield shape overlapping its lower-right corner. Lime accent: the shield. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
cal-scheduling.png,Calendar,Scheduling and booking coordination,reserve,"1024x1024 (1:1), PNG with transparency","An icon representing “Scheduling and booking coordination”. Two overlapping calendar cells with a curved double-headed arrow between them and a small clock at the join. Lime accent: the clock hands. STYLE: a single flat vector-style icon illustration, centred, on a fully transparent background. Bold clean geometric line work of even weight, generously rounded caps and joins, drawn as if at 3px on a 64px grid. Strictly two colours: warm off-white #E8E7E0 for the linework, and a single acid-lime #D2FF4D accent used on exactly one element to draw the eye. No other colours, no gradients, no shading, no drop shadows, no outer glow, no background shape, no container frame, no border. Minimal — three or four shapes at most, readable at 46 pixels. No text, no letters, no numbers, no logos. Not a photograph, not 3D, not skeuomorphic, not isometric, not hand-drawn or sketchy.",
